,Mass,R_eff,R_eff_obs,R_50,R_50_obs,R_90,R_90_obs,aspect_ratio,aspect_ratio_obs,effective dimension,effective dimension_obs,sphericity,sphericity_obs,f_n100,f_n1000,SFR,Z_mean,B_mean,B_mean_obs,T_mean,T_50,T_90,sigma_1D,sigma_1D_obs,Mach,Mach_obs,f_atomic,R_galactic,alpha,alpha_thermal,alpha_turb,alpha_magnetic,alpha_obs,alpha_thermal_obs,alpha_turb_obs,alpha_magnetic_obs
581,524149.27511572186,38.72013746496831,39.178987634505184,33.78425369294019,25.661649709475736,64.5328790340452,74.07697171501535,2.114423018227014,2.9077642049633394,2.430787893877702,3.646181840816553,0.9033212282217258,0.8662827702878896,0.3582929345030598,1e-10,1e-10,2.3047884061683748,2.1141123055106e-09,1.8545512352713611e-09,38.506784943820676,31.4999963185711,54.18839283417909,4186.366635477696,5017.118841446684,8.917694882650485,9.743053201926365,0.000688208299685189,5440.929058841788,2.4580212228299176,0.01428914121020212,1.7827261445935572,0.6610059370261584,2.9601772021863737,0.01649544775360187,2.6097746374882047,0.33390711694456743
582,294670.81534754735,22.71931919843526,24.649108774114794,21.49316987764767,23.609954035926275,32.0656386252977,34.85473561677403,1.5649380622910627,2.03465796105413,2.6018477869841536,3.9027716804762305,0.9657733068027754,0.9365568092503206,0.5558965194725877,1e-10,1e-10,1.7572130933710086,1.6264452643976938e-09,1.638442215574549e-09,25.94043758632991,24.36924787868597,34.35775363724685,1442.2241293958039,1671.7995488990548,3.6029480422107123,3.955531707556328,0.00011161045711993722,8038.519668907384,0.6353638104746252,0.01251950704834564,0.27591791207520694,0.3469263913510725,0.46591464661033616,0.01243569388998526,0.3242862339346452,0.12919271878570568
583,422039.33650424273,34.754769779140275,40.93935474380152,31.537638314696153,34.52949752933953,49.01721262343373,59.26797061056481,1.8767745390541772,1.9805602035702612,2.4696864005080377,3.7045296007620565,0.9338876303372874,0.9410297197795361,0.4360650505396289,1e-10,1e-10,1.43077858681514,2.009875143107332e-09,1.6181446108474767e-09,36.456487166202805,30.73853658175872,52.58590605732985,2738.0025821059626,1900.1991774623407,6.143480477813149,3.7924601986852027,0.0007806243091902365,18189.4607523119,1.5269652665772349,0.015924322060003666,0.8971484764024042,0.613892468114827,0.9735478125726849,0.02026709529602321,0.4858277553421177,0.46745296193454405
584,1753589.5428820534,62.855735267147566,67.97798147095124,58.28281957277593,58.70391816329872,89.34799375134244,99.8324518801414,2.437954294508077,2.9972684786771677,2.391224902372336,3.5868373535585043,0.8611189057324906,0.8595436177651491,0.6591029012604865,0.04719901616176813,0.08352151616231927,1.587419865487242,2.7292084721346417e-09,2.277824669552937e-09,136.76857978209853,61.46846913468291,355.2510738637393,18311.40575396044,16273.319036570427,30.67414150010685,16.76842549696856,0.014265373615677923,10635.538081214496,13.903738099293943,0.022182617647192305,13.451081985844402,0.4304734958023493,14.677535830752861,0.030384723139971592,14.239298829911816,0.4078522777010733
585,1236405.3124697583,39.64831280302586,38.606537852370494,29.401113577705306,23.339288852795434,68.25964675402336,65.5743198328449,1.9590787129469667,2.9840161312972877,2.432319765864241,3.6484796487963616,0.9259780428930214,0.8605346505327315,0.7451704513825949,0.07221540794315975,0.08664984016190934,2.594866728777936,2.872821236882633e-09,1.915617489131032e-09,129.47712176328514,67.64741533384264,339.759352624845,14171.22192753113,7249.19430362089,23.712473443431325,7.6771943958104485,0.01377659355521943,3369.383080179854,8.20391734547332,0.019156022628199407,7.663452034092572,0.5213092887525475,2.3595515701815497,0.023169766641285994,2.2760169108941124,0.06036489264615113
586,332948.4136139875,26.605526380732034,25.834026506222635,28.109956568125135,26.748844998859873,36.89898753200605,38.794440612980836,1.4545178171290705,1.227121208455433,2.6074716413803145,3.9112074620704718,0.9787823796637946,0.9944425709092667,0.30501984929760134,1e-10,1e-10,1.680500170451622,2.789604016116451e-09,2.031585988365526e-09,64.91932169097356,51.31351475136168,110.24644437007603,4916.925587077782,5659.110406442915,9.1379763815384,8.46389945383123,0.002127056773787772,13648.58705053619,4.750848783006455,0.03203781026340491,3.231944134597492,1.4868668381455576,3.66332832928891,0.02886807022278081,3.446731821933516,0.18772843713261295
587,859820.4769254947,46.80916650313319,52.72337886713614,41.03007633932488,46.07574068643181,68.3354524842713,78.94726869546085,1.8573399797180088,2.1722170261104146,2.481290882000804,3.7219363230012057,0.9355012045884071,0.925151886245018,0.319370943872355,1e-10,1e-10,2.1442933580558052,2.0697565174983605e-09,1.1668353286829696e-09,106.0390068523903,85.25982942662964,214.79548393408015,8268.272582757376,7723.987941421354,12.332361928970172,9.038951928821753,0.005654059027019653,6323.725563236389,5.811911717188437,0.02976247266401636,5.207849818008753,0.5742994265156685,5.272633866300399,0.037264022333201884,5.07428241291613,0.1610874310510672
588,846277.4444677877,52.78120031080085,62.01543688954271,42.9950412623231,50.72235410947781,78.73600955157674,94.04461680766066,2.879659752377503,4.312060584181934,2.3281569810136684,3.4922354715205026,0.8100838555979415,0.7729461784936097,0.5026358537169272,1e-10,1e-10,1.0303071792591199,2.8637648742202147e-09,2.8552030200777153e-09,63.34205997761486,43.609633091699976,122.22638137935783,5024.375657258543,3578.1973755945055,8.76440933549246,5.417856733871901,0.0020844265718085175,4065002.1559365354,2.6535969339735663,0.01721959855743509,1.871674803137847,0.7647025322782841,3.2338721594189916,0.026601605803052646,1.3014024994559792,1.9058680541599602
589,358206.4547933098,30.41717036289017,28.18841583474818,27.502886055660856,19.49753060873413,43.93063264943668,39.982729915311445,1.3576659711326964,2.281205290122124,2.547646193983012,3.8214692909745183,0.9874774926840435,0.9161381493993603,0.2863534829990046,1e-10,1e-10,1.6700797678828918,1.7854322578204993e-09,2.0403306166989947e-09,52.387617786959595,33.711780667838504,98.43859800109175,4674.672468366321,4008.6011566668208,8.203682880127102,6.674025131670916,0.0020450061632041328,10900.364811856802,4.007628401006024,0.025855535093382224,2.9507018635443836,1.0310710023682579,2.009462697418076,0.023626236183815714,1.753957097591298,0.23187936364296208
590,367158.94854799745,34.774294763717464,37.84709398784699,36.686553644797414,34.78584387417161,46.48428915645612,52.93242366086175,1.6978698216360166,1.8290903488629726,2.463582398723901,3.695373598085852,0.9586976607959944,0.9534213762755733,0.3499078027001987,1e-10,1e-10,2.4641165263892795,3.3401034985530232e-09,2.440815247140388e-09,212.81107358406152,134.84568474467588,642.2041647998617,8511.644652074221,7799.062783335691,8.265849852267621,6.44250286790344,0.013342529633091793,2991.113290951974,13.149172171715895,0.11564612725830856,10.466884775074329,2.5666412693832585,9.848962533021144,0.1257191026877561,8.696795606288044,1.0264478240453436
591,1060972.9657394274,51.74316988285141,58.41946572241381,40.285299215186484,48.77459736455445,81.7241877643445,94.54742642487909,2.494924904595549,2.878271427858516,2.3686801629319754,3.5530202443979633,0.8562886285438224,0.8685267938913744,0.6845634153855444,1e-10,0.011501286278827285,1.408733425420823,3.4048179133215796e-09,2.583195740251075e-09,167.28988219608866,106.67700815704184,330.7498476029622,11142.227492354807,10581.514583211223,15.353834670193603,9.858760412931042,0.012795312721266106,13735.91120538169,8.436563949435744,0.03853589702947503,7.507328764844395,0.8906992875618733,9.38593644460518,0.052789988443978,8.551552014139098,0.7815944420221039
592,746839.8382880754,45.253496048269334,50.125895800748104,42.34422943057149,46.14563033484366,68.82083285139751,80.90683968044738,2.2796572394300094,2.2618688380990686,2.385593669332346,3.578390503998519,0.8849113280949705,0.9177336895710424,0.7733828121745422,1e-10,1e-10,2.2113460623205614,2.1509775619197276e-09,1.347096339230437e-09,58.57333694317923,31.415861771599907,122.38054026577883,5828.226196838908,5104.496837380837,9.899065695086383,8.03733871692023,0.0037907747194458885,7598.651007844478,2.9694196342705883,0.01660756480954281,2.591021768272641,0.361790301188404,2.680734177607,0.022530107614421806,2.425697038849761,0.23250703114281684
593,1310506.2429172928,57.29080165169955,65.39713103207693,54.61306720236953,56.48035106636998,83.27544368719167,99.22628579106585,2.295368759897768,3.968075039001336,2.3751245443832545,3.5626868165748817,0.8840588265022542,0.793443254316934,0.5624077779014907,1e-10,0.010358159530325031,1.5860178196126802,2.7575958782400065e-09,1.6497495997830389e-09,98.85869097503863,53.11695529019263,215.18891917806206,9292.88608289482,11166.706017982942,13.001688200122205,13.534024876462345,0.006975621753744443,14084.821530912606,5.173049273330485,0.019828863647517687,4.631782824995622,0.5214375846873457,8.98748889575118,0.028272426673170273,8.631092615374097,0.3281238537039133
